20/01/2019,2:09 pm,Messages and calls are end-to-end encrypted. No one outside of this chat,not even WhatsApp,can read or listen to them. Tap to learn more.
20/01/2019,2:09 pm,You created group "Kya mile? "
20/06/2020,1:34 am,RED,😂😂😂😂
20/06/2020,1:35 am,Tosiba,tu engineer h na bey
20/06/2020,1:35 am,RED,😅
20/06/2020,1:35 am,Tosiba,tune dkha hoga talent
20/06/2020,1:35 am,Tosiba,kitna bhara pada h
20/06/2020,1:35 am,Anurag,Ya bro u r right 👌🏻 I forgot 😢
20/06/2020,1:35 am,Tosiba,apne desh me
20/06/2020,1:35 am,RED,Dekha na isne hr ka tallent
20/06/2020,1:35 am,Tosiba,bhai engineering ki degree ese mat bhool mehnat ki h 4 saal
20/06/2020,1:35 am,Tosiba,🔥😂😂😂
20/06/2020,1:36 am,RED,Engineering wala kuch b kr sakta h
20/06/2020,1:37 am,Tosiba,engineers launde sushant singh rajput se khud ko compare kar skte h😢😢
20/06/2020,1:37 am,Anurag,Han bhai din m 2 baar hilata hu... Agr mere jaise engineer ko china m chhod dia na pkka maa chod ke ayenge inki. Bhale hi inke soldiers ko maaru na maaru inki machodkr aunga
20/06/2020,1:37 am,RED,Mat bol bhai
20/06/2020,1:37 am,Tosiba,sushant singh rajput pe pta h itna dukh kyu hua kyuki vo sab ko apne jesa laga
20/06/2020,1:37 am,RED,Usne itna bola logo ko movie dekh lo meri
20/06/2020,1:37 am,Anurag,😢 bhai hilana bhul gya tha 4 sal m.
20/06/2020,1:38 am,RED,Salman ko dekhna h bhen ke lodo ko
20/06/2020,1:38 am,Tosiba,bhai pehli baar kisi Bollywood celebrity ki death feel hui muje
20/06/2020,1:38 am,Tosiba,bahut zyada
20/06/2020,1:38 am,Anurag,Same true af
20/06/2020,1:38 am,Tosiba,duniya madarchod h bhai
20/06/2020,1:38 am,Tosiba,aur rhegi
20/06/2020,1:38 am,Anurag,Or pehli baar kisi 6kke ko marne ka mann hua h.
20/06/2020,1:38 am,Anurag,Mera
20/06/2020,1:38 am,RED,Arijeet ke sath kitna bura kia vo mat bhulna
20/06/2020,1:38 am,Tosiba,sahi bta rha hu
20/06/2020,1:38 am,RED,Plz
20/06/2020,1:39 am,Anurag,K johar
20/06/2020,1:39 am,Tosiba,chakko ki bezti kar rha h tu
20/06/2020,1:39 am,RED,Mujhe bhot bura laga arijeet ke lie b
20/06/2020,1:39 am,Tosiba,selmon bhai madarjaat h
20/06/2020,1:39 am,Anurag,Nhi yaar pehle respect krta tha.. ab marne ka mann ho rha h
20/06/2020,1:39 am,Tosiba,aur karan johar lund ka dalla
20/06/2020,1:39 am,RED,T series,Sony music ye sab mafia h
20/06/2020,1:40 am,Tosiba,arijit singh dependent nhi h kisi pe
20/06/2020,1:40 am,Tosiba,uska kuch nhi ukhad skta koi
20/06/2020,1:40 am,Tosiba,apni album nikalega to maa chod dega selmon bhai ki
20/06/2020,1:40 am,Tosiba,🔥😂😂😂
20/06/2020,1:40 am,Anurag,H vo to
20/06/2020,1:40 am,RED,Sonu nigam ko dhamka ke bula k usse dub karate h fir movie m nai dalte
20/06/2020,1:41 am,RED,Bhai uski bezaati nai bhul sakta m
20/06/2020,1:41 am,Tosiba,bhai Bollywood me dallagiri chalti h
20/06/2020,1:41 am,Anurag,Uske sath kya hua idk
20/06/2020,1:41 am,Tosiba,Bollywood ghatiya h
20/06/2020,1:41 am,Tosiba,tollywood dkhlo isse acha
20/06/2020,1:41 am,Anurag,?
20/06/2020,1:41 am,Tosiba,original content bhi milega
20/06/2020,1:41 am,RED,Tune abhinav kashyap ki statement nai suni.... Film maker ki.... Start banne ate h escort banne ki mazboori a jati h
20/06/2020,1:41 am,Tosiba,sushant singh rajput DTU ka tha  bhai😢😢😢
20/06/2020,1:42 am,Tosiba,bhncho gand fatt jati h admission lene me
20/06/2020,1:42 am,Tosiba,mera bhi nhi hua tha
20/06/2020,1:42 am,Tosiba,😂😂
20/06/2020,1:42 am,RED,DTE
20/06/2020,1:42 am,Tosiba,arey dtu hi h vo
20/06/2020,1:42 am,Tosiba,pehle DCE tha
20/06/2020,1:42 am,RED,😂😂😂
20/06/2020,1:42 am,Tosiba,fir DTU ho gya tha
20/06/2020,1:42 am,Anurag,Air7 lane m gaand faatti h bhai admission to ho hi jata h
20/06/2020,1:42 am,Tosiba,naam chanhe hua tha
20/06/2020,1:42 am,RED,Are uska lecture
20/06/2020,1:42 am,RED,Wala bta rha hun
20/06/2020,1:43 am,Tosiba,bhai gand se khoon nikal. jata h
20/06/2020,1:43 am,RED,Talk kia tha usne usme
20/06/2020,1:43 am,Tosiba,yaha 2lakh se upar rank aayi thi
20/06/2020,1:43 am,Tosiba,bhai bahut galat hua
20/06/2020,1:43 am,Anurag,Yahan exam hi nhi dia chicken pox le chakkar m ...fir baap ki gaaliyan suni or bura lga mujhko
20/06/2020,1:43 am,Tosiba,esa lagta h apne hostel. k launde ne suicide kiya h😢😢
20/06/2020,1:44 am,Anurag,Isse acha to jee m rank hi nhi ati meri
20/06/2020,1:44 am,Anurag,😁
20/06/2020,1:44 am,Tosiba,dekr bhi kuch nhi hota bhai😂😂
20/06/2020,1:44 am,Tosiba,ab baha bna skta h
20/06/2020,1:44 am,Tosiba,ki chicken pox tha
20/06/2020,1:44 am,Anurag,Bhai mere papa mujhko tabhi bhi bike pe lekr ja rhe they... Soch kitni ummed hogi
20/06/2020,1:44 am,RED,Mujhe chicken khana h bc
20/06/2020,1:44 am,Tosiba,Bollywood dallo ki industry h
20/06/2020,1:44 am,RED,😂😂😂
20/06/2020,1:45 am,Tosiba,ek dusre ka lund lete ghumte h sab
20/06/2020,1:45 am,RED,Kfc wali recipe mili h
20/06/2020,1:45 am,Anurag,Maine 2 din pehle hi khaya
20/06/2020,1:45 am,Tosiba,bhai
20/06/2020,1:45 am,RED,Hn bhai merw bahai
20/06/2020,1:45 am,Tosiba,bhsdike chicken burger khana h
20/06/2020,1:45 am,Tosiba,😂
20/06/2020,1:45 am,Anurag,Bhai yahan MC h... Soch gully boy jaisi chutia movie hit ho gyi
20/06/2020,1:45 am,Tosiba,momos bhi
20/06/2020,1:45 am,Anurag,Sale Eminem ki gaand chati h inhone
20/06/2020,1:45 am,Tosiba,bhncho dkhi bhi nhi mene vo
20/06/2020,1:46 am,Tosiba,kya chutya movie h
20/06/2020,1:46 am,Tosiba,bc
20/06/2020,1:46 am,Anurag,Mene konsa dekhi bc
20/06/2020,1:46 am,RED,Mai chichore theatre mai  dwkhne gya tha
20/06/2020,1:46 am,RED,Saksham ke sath
20/06/2020,1:46 am,Tosiba,kesari chhichore ye movie thi bc
20/06/2020,1:46 am,Anurag,Maine trailer dekha tha bus YouTube pe
20/06/2020,1:46 am,RED,Hum dono swnti ho gye the
20/06/2020,1:46 am,Anurag,Same here
20/06/2020,1:46 am,RED,2 pac
20/06/2020,1:47 am,RED,Sexa
20/06/2020,1:47 am,Anurag,8 miles
20/06/2020,1:47 am,RED,Hai saksham
20/06/2020,1:47 am,Anurag,Eminem
20/06/2020,1:47 am,RED,Scene copy kie
20/06/2020,1:48 am,RED,Gully boy vese log hate kr rhe h coz alia thi
20/06/2020,1:48 am,Tosiba,abey ek vo bhi sali behn ki laudi h
20/06/2020,1:48 am,RED,Gully boy chutia movie h
20/06/2020,1:48 am,Tosiba,jannat zubair rehmani
20/06/2020,1:48 am,RED,But ranveer singh accha kia acting
20/06/2020,1:48 am,Tosiba,sali bhncho
20/06/2020,1:48 am,Tosiba,use follow mat krna bhai
20/06/2020,1:48 am,RED,Kon h?
20/06/2020,1:48 am,Anurag,Bhai cheeeee kitni bekar h yaar kisi or ka name le iska mat le
20/06/2020,1:48 am,RED,Kon h?
20/06/2020,1:49 am,Tosiba,tiktok alag bc sali china shows ka promo krti hao
20/06/2020,1:49 am,Tosiba,hai
20/06/2020,1:49 am,Tosiba,bhncho
20/06/2020,1:49 am,Tosiba,muje bahut gussa aya bhncho
20/06/2020,1:49 am,RED,TickTok ka naam mt le bc
20/06/2020,1:49 am,Tosiba,bhai zindagi me sab galat kaam kiye tiktok kbhi install nhi kiya
20/06/2020,1:49 am,RED,Shuru se nai pasand mujhe bc CP Gya rha mai dost ke sath vha sab ticktok m ghuse pade the
20/06/2020,1:50 am,Tosiba,gand marane jaate honge uske baad vo sah log😂😂
20/06/2020,1:50 am,Tosiba,central park me
20/06/2020,1:50 am,RED,Londe 4 ladki 1
20/06/2020,1:50 am,RED,Sab chapri style
20/06/2020,1:50 am,Tosiba,abey
20/06/2020,1:50 am,Tosiba,5 ladkiya bol na
20/06/2020,1:50 am,Tosiba,seedha
20/06/2020,1:51 am,RED,Nai vo vali aukat nai h inki
20/06/2020,1:51 am,RED,5 ladkey wale pornstar are artist
20/06/2020,1:51 am,RED,Ticktokers ki aukat nai h vo b krne ki
20/06/2020,1:51 am,Tosiba,sukhi randi??
20/06/2020,1:51 am,Tosiba,😂😂
20/06/2020,1:51 am,Tosiba,ye bol skte h
20/06/2020,1:51 am,RED,😂😂😂
20/06/2020,1:51 am,RED,Han
20/06/2020,1:52 am,RED,Exactly
20/06/2020,1:52 am,Tosiba,isse gnda nhi pta muje
20/06/2020,1:52 am,RED,Rohdes is > alia bhat
20/06/2020,1:53 am,RED,Alia ka baap kitna randwa h na
20/06/2020,1:53 am,Tosiba,bhai bhai bhai
20/06/2020,1:53 am,RED,Bhosdika
20/06/2020,1:53 am,Tosiba,😂😂😂
20/06/2020,1:53 am,RED,Rhea shushant ki bandi ke sath
20/06/2020,1:53 am,RED,Ese pic le rakhi h
20/06/2020,1:53 am,RED,Dil toot gya yaar mera
20/06/2020,1:53 am,Tosiba,bhncho
20/06/2020,1:53 am,Tosiba,kasam se
20/06/2020,1:53 am,Tosiba,yaar
20/06/2020,1:54 am,Tosiba,Bollywood gb road se bhi bada randi khana h
20/06/2020,1:54 am,RED,<Media omitted>
20/06/2020,1:54 am,Tosiba,sona gachi se bhi bada
20/06/2020,1:55 am,RED,Shahid kapoor,sonam kapoor,alia bhat,etc
20/06/2020,1:55 am,RED,In sab ne
20/06/2020,1:55 am,Anurag,Chalo bhai gud night
20/06/2020,1:55 am,RED,.... Bhau uski diaries mil gai h 5
20/06/2020,1:55 am,RED,Ab pata chalega
20/06/2020,1:56 am,RED,Bhai yaar btw sucide
20/06/2020,1:56 am,RED,Is serious
20/06/2020,1:56 am,RED,<Media omitted>
20/06/2020,1:56 am,RED,This guy was my fav
20/06/2020,1:56 am,RED,Jabse isne sucide kia na
20/06/2020,1:57 am,RED,Tabse pata chala ki words bhas words he h
20/06/2020,1:57 am,Tosiba,bhai kiske andar kya chal rha h
20/06/2020,1:57 am,Tosiba,kisi ko nhi pta
20/06/2020,1:58 am,Tosiba,bnde ne decide kr liya suicide ka use kisi ka baap nhi rok skta
20/06/2020,1:58 am,RED,1 din phele apni family ke sath khel rha tha
20/06/2020,1:58 am,Tosiba,sirf us bnde ko us dukh ka pta hote h
20/06/2020,1:58 am,RED,Next day shook the world
20/06/2020,1:58 am,Tosiba,koi aur pta nhi kar skta
20/06/2020,1:59 am,RED,Chester ki pic m aj b dalta rheta hun
20/06/2020,1:59 am,RED,Reminds me nothing is permanent
20/06/2020,1:59 am,RED,Money,job fame
20/06/2020,1:59 am,Tosiba,exactly
20/06/2020,1:59 am,Tosiba,bhai pesa fame kuch nhi h
20/06/2020,1:59 am,Tosiba,sach kahi
20/06/2020,1:59 am,Tosiba,kahu
20/06/2020,1:59 am,RED,Purpose he sukoon h life ka
20/06/2020,1:59 am,Tosiba,me khush hu me ameer ghr me peda nhi hua
20/06/2020,2:00 am,Tosiba,ameeer log madarchod hote h
20/06/2020,2:00 am,Tosiba,kisi k nhi hote
20/06/2020,2:00 am,RED,Mera purpose mujhe mila nai h isiliye left out hun m
20/06/2020,2:00 am,RED,2 saal depression tha mujhe
20/06/2020,2:01 am,RED,3rd year maine fuck it bolke sab stress ko lat mari
20/06/2020,2:01 am,RED,Aaj khush hun m
20/06/2020,2:01 am,Tosiba,bhai depression bahut gandi cheez h
20/06/2020,2:01 am,RED,I know
20/06/2020,2:02 am,RED,Abhi b mujhe anxiety h ghabrata hun m logo se.... Nazar bachake jata hun m
20/06/2020,2:02 am,RED,Mai kisi ko share krta hun tho bolte h kuch nai h
20/06/2020,2:02 am,RED,Be
20/06/2020,2:02 am,RED,Sab theek h
20/06/2020,2:02 am,RED,Overthink
20/06/2020,2:03 am,RED,... But i know jab hota h kuch nai dikhta
20/06/2020,2:03 am,RED,But i am happy
20/06/2020,2:03 am,Tosiba,haa exactly
20/06/2020,2:03 am,Tosiba,bolna asan hota h
20/06/2020,2:03 am,Tosiba,kisi se baat krlo
20/06/2020,2:03 am,Tosiba,ye krlo
20/06/2020,2:03 am,Tosiba,vo krlo
20/06/2020,2:03 am,Tosiba,jab hota h to kuch nhi dikhta
20/06/2020,2:03 am,RED,Bhai 3 din mai sota rha tha
20/06/2020,2:03 am,Tosiba,zindagi chutiya lagne lgti h
20/06/2020,2:04 am,RED,Ki kyu uthu
20/06/2020,2:04 am,RED,Mootna hagna
20/06/2020,2:04 am,RED,Vapas phone leke bed pe
20/06/2020,2:04 am,RED,😂😂😂😂
20/06/2020,2:05 am,RED,Aajkal quarantine m sabka yhi hal h
20/06/2020,2:05 am,Tosiba,😂😂😂😂
20/06/2020,2:05 am,RED,Tu vapas kb ja rha h
20/06/2020,2:05 am,Tosiba,bhai
20/06/2020,2:05 am,Tosiba,jab corona bahut kam ho jayega
20/06/2020,2:05 am,Tosiba,august se pehle to bilkul nhi
20/06/2020,2:05 am,RED,Bhai 2021
20/06/2020,2:05 am,Tosiba,jaa rha
20/06/2020,2:05 am,RED,Mark the date common flu bn jayega
20/06/2020,2:06 am,Tosiba,bhai kya socha tha August tak job lag jayegi
20/06/2020,2:06 am,Tosiba,aur ab dkh
20/06/2020,2:06 am,Tosiba,😂😂
20/06/2020,2:06 am,Tosiba,haa
20/06/2020,2:06 am,RED,😂😂 Nothing is permanent
20/06/2020,2:06 am,RED,Maine b bhot kuch socha tha
20/06/2020,2:06 am,RED,Goa ka plan tha family ka
20/06/2020,2:06 am,RED,Plane ticket ke refund b nai mile
20/06/2020,2:06 am,RED,50k ka loss
20/06/2020,2:07 am,RED,Upar se papa bimar
20/06/2020,2:07 am,RED,Isi month
20/06/2020,2:07 am,RED,8th ko anniversary thi vo b
20/06/2020,2:07 am,RED,..... Log madarchod
20/06/2020,2:08 am,RED,Bolte h hume btana kuch problem ho
20/06/2020,2:08 am,RED,Fir khud he gayab
20/06/2020,2:08 am,RED,😂😂😂😂
20/06/2020,2:08 am,Tosiba,bhai tu hume bta
20/06/2020,2:08 am,RED,This is what it is
20/06/2020,2:08 am,RED,Tum dur ho be
20/06/2020,2:08 am,RED,Rhene do
20/06/2020,2:08 am,Tosiba,bhncho koi rok nhi payega
20/06/2020,2:08 am,Tosiba,muje
20/06/2020,2:09 am,RED,Are bhas medicine ka prob h vitamin ka use intezam krna h
20/06/2020,2:09 am,RED,Baki sab intezam kra hua h
20/06/2020,2:10 am,Tosiba,sahi h bhai
20/06/2020,2:10 am,Tosiba,bas kuch din aur
20/06/2020,2:10 am,Tosiba,kis kis ko pta h vese ye baat??
20/06/2020,2:11 am,RED,Tum 3
20/06/2020,2:11 am,RED,Bandi
20/06/2020,2:11 am,RED,Aur gali walo ko
20/06/2020,2:12 am,Tosiba,acha
20/06/2020,2:15 am,RED,Yup
20/06/2020,12:51 pm,Anurag,https://youtu.be/8C1NhI2T0Yc
20/06/2020,12:51 pm,Anurag,Robin agyi 7.62 mm ki
20/06/2020,12:51 pm,RED,Bhas kam khatam
20/06/2020,12:52 pm,RED,7.62 gand ke cheethde kr ferti h
20/06/2020,3:14 pm,RED,Nepal mc sala
20/06/2020,3:15 pm,Tosiba,kya kiya Nepal ne
20/06/2020,3:15 pm,Tosiba,?
20/06/2020,3:15 pm,RED,Unke president ne koi bill sighn kia h
20/06/2020,3:16 pm,Tosiba,gand marane ka kiya hoga
20/06/2020,3:16 pm,RED,Uttrakhand ke border m
20/06/2020,3:16 pm,RED,Nepal ki force double ho gai h
20/06/2020,3:23 pm,Gotiya,reason ky h
20/06/2020,3:26 pm,RED,https://indianexpress.com/article/world/nepal-new-map-assembly-bill-passed-with-indian-territories-6464800/
20/06/2020,3:26 pm,RED,https://www.livehindustan.com/uttarakhand/story-uttarakhand-evacuating-villages-along-china-and-nepal-border-raise-strategic-concerns-3291117.html
20/06/2020,5:06 pm,Anurag,Kuch nhi ye saale pressurize kr rhe h. India Pak or china 3no
20/06/2020,5:06 pm,Anurag,Maine abhi news dekhi pakistan ne drone bheje h india m surveillance ke liye
20/06/2020,5:06 pm,Gotiya,haan mne b dekha yeh
20/06/2020,5:27 pm,Anurag,Bhai 3 frontier war hogi agr hui to
20/06/2020,5:28 pm,RED,Han india pisega
20/06/2020,5:28 pm,RED,Pakistan madarchod kuch h nai uske paas
20/06/2020,5:28 pm,RED,Vo b gand ragdega
20/06/2020,5:29 pm,Anurag,But western support h india pe
20/06/2020,5:30 pm,RED,Tujhe lagta h?
20/06/2020,5:30 pm,Anurag,Mujhe lgtanhi h pkka h.
20/06/2020,5:30 pm,Anurag,1970s ki war m bhi yhi hua tha
20/06/2020,5:31 pm,RED,Han historian
20/06/2020,5:31 pm,Anurag,Russians submarine Indian Ocean m pakistan ki gand marne ke liye khdi thi
20/06/2020,5:31 pm,RED,Russia ki help chaiye
20/06/2020,5:31 pm,Anurag,Unki himmat nhi hui thi. Ki indo china war m aage aye.
20/06/2020,5:31 pm,RED,Ruski
20/06/2020,5:32 pm,RED,Cyka blyat
20/06/2020,5:32 pm,Anurag,But mujhko nepal m gussa h bohot
20/06/2020,5:32 pm,RED,Babushka
20/06/2020,5:32 pm,RED,Ki help chaiye abhi
20/06/2020,5:32 pm,RED,Nepal chutia tha h rhega
20/06/2020,5:32 pm,RED,Koi izzat ni rhi
20/06/2020,5:32 pm,RED,Uski
20/06/2020,5:32 pm,Anurag,Abhi vahan sarkar giregi na vo apni aukat m ajayenge
20/06/2020,5:33 pm,RED,😂 Abhi mujhe apni govt ka statement sunna h
20/06/2020,5:33 pm,RED,Fir bad ki baat h
20/06/2020,5:34 pm,RED,Kya krna h vo apni govt decide kregi
20/06/2020,5:34 pm,Anurag,Humari to sahi hi h bhai modi ne sari partyo ko boldia ki koi bakchodi na honi chahiye
20/06/2020,5:34 pm,RED,Modi ki baat he nai h
20/06/2020,5:35 pm,RED,Ye sab hamare defence decide kregi
20/06/2020,5:35 pm,RED,Unka decision matrers
20/06/2020,5:35 pm,RED,Thal.... Vayu... Jal
20/06/2020,5:35 pm,RED,Inko pata h kya hoga
20/06/2020,5:35 pm,RED,Baki sab han aur na krenge
20/06/2020,5:36 pm,Anurag,Bhai vo pm h agr vo war ke liye bolega to hi hogi vrna kisi ka baap nhi h jo war krva de. PM ka decision hi final hoga
20/06/2020,5:36 pm,RED,😂 Pm ka decision theek h
20/06/2020,5:36 pm,RED,Han aur na
20/06/2020,5:37 pm,Anurag,Bhai vo tactics decide krte h na ki ye ki war honi chahiye ya nhi... Ye decide krna army ka kaam nhi h ...history pdega or political pdega to pta chlega
20/06/2020,5:37 pm,RED,Are munna calm down
20/06/2020,5:37 pm,RED,😂
20/06/2020,5:37 pm,Anurag,Ye decision lene ke liye bhi dum chahiye bhai.. jo sabme nhi h
20/06/2020,5:37 pm,RED,Dwkh war ni hogi
20/06/2020,5:38 pm,RED,100%
20/06/2020,5:38 pm,Anurag,Idk about world war but jab baat territorial war ki h to koi rokega bhi nhi.
20/06/2020,5:39 pm,Gotiya,bhai nepal kahan se include ho gya isme???
20/06/2020,5:39 pm,RED,😂
20/06/2020,5:39 pm,RED,Nepal he tho h dogla
20/06/2020,5:39 pm,RED,Tumhara
20/06/2020,5:39 pm,RED,Bhai bhai
20/06/2020,5:39 pm,RED,Pakistan... China nepal
20/06/2020,5:39 pm,RED,Bhen ke lund 😂
20/06/2020,5:39 pm,Anurag,Arey ye log machod h.. china ne project investment ki h ...to ye bhosdike china ke side hogye h.
20/06/2020,5:40 pm,Anurag,Nepal ne apna map nikal dia territory ko lekar ...harsh bhai check krio map vali news
20/06/2020,5:40 pm,Tosiba,bhai modi full mood me h war k
20/06/2020,5:40 pm,Anurag,Terko samajh ajayega kya fashion chal rha h.
20/06/2020,5:40 pm,RED,Maine send ki tho h yha
20/06/2020,5:40 pm,Tosiba,seedha bol diya h ki chup nhi bethenge
20/06/2020,5:40 pm,RED,Bhas its decided
20/06/2020,5:41 pm,Tosiba,isliye to saman mangva rhe h
20/06/2020,5:41 pm,Tosiba,war ka
20/06/2020,5:41 pm,Tosiba,😂😂
20/06/2020,5:41 pm,Anurag,M btha rha hu vo gaand mardega china ki but big decision usko hi Lena h.. ya to vo Nehru ki tareh chutiap krega vrna unki gand marega .Let's see kya hota h
20/06/2020,5:41 pm,Tosiba,rifles jet sab aa rhe h
20/06/2020,5:41 pm,Tosiba,bhai tyari me lage h
20/06/2020,5:42 pm,Tosiba,ab india chup nhi bethega
20/06/2020,5:42 pm,Tosiba,boldiya h usne
20/06/2020,5:42 pm,RED,Nehru chutap tha
20/06/2020,5:42 pm,Anurag,Han yhi baat h or kuch nhi payback to hokr hi rhega
20/06/2020,5:42 pm,Tosiba,Russia aur usa ka support milega pkka
20/06/2020,5:42 pm,Tosiba,weapons milne to pakke h
20/06/2020,5:42 pm,Tosiba,bc
20/06/2020,5:43 pm,Tosiba,indian army ko weapons hi chaiye,kisi ki bhi maa chod denge
20/06/2020,5:43 pm,Tosiba,china bhuktega bhai
20/06/2020,5:43 pm,Tosiba,aur pakistan aur nepal ne bakchodi zyada ki to map se mit jayenge
20/06/2020,5:44 pm,Tosiba,pakistan nepal ki aukad hi kya h
20/06/2020,5:45 pm,RED,China chudega ye pakka h
20/06/2020,5:45 pm,RED,Par we need alies
20/06/2020,5:45 pm,RED,On war
20/06/2020,5:45 pm,RED,Pura border ghira hua h apna enemies se
20/06/2020,5:46 pm,Anurag,Bhai ab piche nhi hatt skte h yaar
20/06/2020,5:46 pm,Tosiba,bhai apni force bhi tyar h
20/06/2020,5:46 pm,Tosiba,tu chutiya smjh rha h apni army ko
20/06/2020,5:47 pm,Tosiba,plan ready krke bethe honge abhi tak
20/06/2020,5:47 pm,Tosiba,strategies ban rhi hongi
20/06/2020,5:47 pm,Tosiba,india kaha kaha se attack krega Pakistan ko pta nhi chlega
20/06/2020,5:47 pm,RED,Please dont use atom bombs
20/06/2020,5:47 pm,RED,🙏🏻
20/06/2020,5:47 pm,RED,Fair fight
20/06/2020,5:47 pm,RED,Plz
20/06/2020,5:48 pm,RED,Un ka rule follow krna
20/06/2020,5:48 pm,Anurag,vahan tk baat nhi jayegi ye world war thodi na hogi
20/06/2020,5:48 pm,Tosiba,bhai ye to vohi baat h gaali dele lekin maa behn ki mat de
20/06/2020,5:48 pm,Tosiba,😂😂😂😂
20/06/2020,5:48 pm,Tosiba,war war h
20/06/2020,5:48 pm,Tosiba,bhai
20/06/2020,5:48 pm,Tosiba,sab hoga
20/06/2020,5:48 pm,RED,😂😂😂 Bahi nuke nai
20/06/2020,5:48 pm,RED,Gir sakte
20/06/2020,5:48 pm,RED,Jabse japan m hua h
20/06/2020,5:49 pm,Anurag,Ni bhai aise war nhi hogi. Un sabki gaand mardega jo nukes use lrega
20/06/2020,5:49 pm,RED,Pura world kapta
20/06/2020,5:49 pm,RED,H result dekhke
20/06/2020,5:49 pm,Tosiba,nukes nhi hoga bhai
20/06/2020,5:49 pm,RED,Sunnnn meri baaa
20/06/2020,5:49 pm,Tosiba,tabahi mach jayegi
20/06/2020,5:49 pm,Tosiba,dono side
20/06/2020,5:49 pm,Anurag,Hn ye hoga
20/06/2020,5:49 pm,RED,Agar china ne nuke kia na..... World china ko khat krdega
20/06/2020,5:49 pm,Tosiba,fir world war hi hoga
20/06/2020,5:49 pm,Tosiba,raat raat me khtm kr denge china ko sab milke
20/06/2020,5:50 pm,Tosiba,complementary pakistan bhi jayega
20/06/2020,5:50 pm,RED,Are chud gya samajh b3 bombers ayenge pata b nai chalega kya aya
20/06/2020,5:50 pm,RED,Itna stealth plane h vo
20/06/2020,5:50 pm,RED,Radar m nai dikhta
20/06/2020,5:50 pm,RED,Call of duty modern warfare
20/06/2020,5:50 pm,RED,Latest wali
20/06/2020,5:51 pm,RED,Sari weaponry asli h
20/06/2020,5:51 pm,Tosiba,bhai war start hui to china ka chudna pakka h
20/06/2020,5:51 pm,Tosiba,kese bhi chude
20/06/2020,5:52 pm,RED,Pakistan ko krdo down
20/06/2020,5:52 pm,RED,Jada fudakta h
20/06/2020,5:52 pm,RED,Aur dogle nepal ko
20/06/2020,5:52 pm,RED,Punish kro
20/06/2020,5:52 pm,Tosiba,nepal randi nikla
20/06/2020,5:52 pm,Tosiba,idhaar udhar marane chala jata h
20/06/2020,5:52 pm,RED,Ab inke bande yha.... Sweatwer bechne aye tho mai.... Sach m chanta mar dunga
20/06/2020,5:53 pm,RED,Bhadur ki gand fad dunga m
20/06/2020,5:53 pm,Tosiba,momos😂😂
20/06/2020,5:53 pm,RED,Momos b kha lunga
20/06/2020,5:53 pm,RED,Gand tutegi vo alag
20/06/2020,5:58 pm,Tosiba,<Media omitted>
20/06/2020,6:00 pm,RED,😡
20/06/2020,6:01 pm,Tosiba,ye h kon
20/06/2020,6:01 pm,Tosiba,shen shiwei
20/06/2020,6:02 pm,Tosiba,madarchod
20/06/2020,6:02 pm,RED,Shen long ki tatti
20/06/2020,6:02 pm,RED,Bc pata b nai chalta naam h ya sound effect
20/06/2020,6:40 pm,RED,https://www.youtube.com/watch?v=pQ92a_m7xrw
21/06/2020,4:36 pm,RED,https://www.youtube.com/watch?v=5niCbzCpEbI
21/06/2020,5:33 pm,Anurag,Abhi accept nhi kia h.
21/06/2020,5:34 pm,Anurag,Or Bangladesh m isko lekr protest bhi ho rhi h.
21/06/2020,5:34 pm,Anurag,Anti china protest Bangladesh m bhi ho rhi h.
21/06/2020,5:35 pm,Anurag,Lkin ab dekhte h Bangladesh ka response kya hoga.
21/06/2020,5:54 pm,Tosiba,ye bc
21/06/2020,5:54 pm,Tosiba,bangladesh aur nepal k aadhe log to indiaa me hi aate h
21/06/2020,6:49 pm,RED,Sabko apna faida chaiye
21/06/2020,6:49 pm,RED,Aur mil b rha h
21/06/2020,6:50 pm,RED,2018 19 ki dead kuch dino m  mil gai
21/06/2020,8:22 pm,Anurag,But yaar war agr hoti h to china ka support Bangladesh nhi krega itna pkka h.
21/06/2020,8:22 pm,Anurag,Han vo to h hi. Sab country apne liye hi krrh h
21/06/2020,8:27 pm,RED,Unlike Switzerland
21/06/2020,9:06 pm,Tosiba,indian army full ready h bhai
21/06/2020,9:07 pm,Tosiba,air water land
21/06/2020,9:07 pm,Tosiba,sab deploy kar diye h
21/06/2020,9:07 pm,Tosiba,army ko permission bhi de di hao
21/06/2020,9:07 pm,Tosiba,hai
21/06/2020,9:07 pm,Tosiba,tanks jet sab postion pe hai
21/06/2020,9:13 pm,Gotiya,bhai this is not the right year
21/06/2020,9:13 pm,Gotiya,it would be deadly af
21/06/2020,9:13 pm,Gotiya,dono top 3 defense systems mei se ek h
21/06/2020,9:13 pm,Tosiba,humare bolne se kya hota h
21/06/2020,9:13 pm,Tosiba,china harkat krega
21/06/2020,9:13 pm,Tosiba,to hoga
21/06/2020,9:13 pm,Gotiya,and agr war hui... bhooooot bura hga...
21/06/2020,9:13 pm,Gotiya,bhai woh situation ka fayida lera h
21/06/2020,9:14 pm,Gotiya,us bkl ne hr jagah paisa lga rkha h
21/06/2020,9:14 pm,Gotiya,choti se choti chiz mei
